"id","short-name","url","lifeUrl","OToLId","waarnemingId"
"Clitocybe candicans","Clitocybe candicans","http://www.wikidata.org/entity/Q2979406","996645","729231","15326"
"Clitocybe clavipes","Clitocybe clavipes","http://www.wikidata.org/entity/Q2669211","1029603","454800","15365"
"Clitocybe connata","Clitocybe connata","http://www.wikidata.org/entity/Q107573438","44456311","835285","672898"
"Clitocybe costata","Clitocybe costata","http://www.wikidata.org/entity/Q10713543","190723","3827129","15166"
"Clitocybe diatreta","Clitocybe diatreta","http://www.wikidata.org/entity/Q2092236","1009392","3827883","15613"
"Clitocybe ditopa","Clitocybe ditopa","http://www.wikidata.org/entity/Q10455187","195779","492881","15351"
"Clitocybe foetens","Clitocybe foetens","http://www.wikidata.org/entity/Q10455195","6677879","3827923","14126"
"Clitocybe fragrans","Clitocybe fragrans","http://www.wikidata.org/entity/Q3817466","1009421","1072213","15526"
"Clitocybe gibba","Clitocybe gibba","http://www.wikidata.org/entity/Q46795429","195545","462735","15528"
"Clitocybe marginella","Clitocybe marginella","http://www.wikidata.org/entity/Q10455210","192243","3827179","14999"
"Clitocybe metachroa","Clitocybe metachroa","http://www.wikidata.org/entity/Q3915432","133991","741342","15601"
"Clitocybe nebularis","Clitocybe nebularis","http://www.wikidata.org/entity/Q757125","1029489","909208","15410"
"Clitocybe odora","Clitocybe odora","http://www.wikidata.org/entity/Q913466","1017419","387027","15248"
"Clitocybe phaeophthalma","Clitocybe phaeophthalma","http://www.wikidata.org/entity/Q10680211","134148","729221","15555"
"Clitocybe phyllophila","Clitocybe phyllophila","http://www.wikidata.org/entity/Q883698","1030127","482512","15271"
"Clitocybe rivulosa","Clitocybe rivulosa","http://www.wikidata.org/entity/Q2720076","1017394","5306429","15212"
"Clitocybe vibecina","Clitocybe vibecina","http://www.wikidata.org/entity/Q1646087","1013396","482535","15175"
"Clitopilus geminus","Clitopilus geminus","http://www.wikidata.org/entity/Q3429627","11975536","794839","672905"
"Clitopilus hobsonii","Clitopilus hobsonii","http://www.wikidata.org/entity/Q10713600","192247","251792","15198"
"Clitopilus prunulus","Clitopilus prunulus","http://www.wikidata.org/entity/Q856834","1017270","438742","15273"
"Clitopilus scyphoides","Clitopilus scyphoides","http://www.wikidata.org/entity/Q10477909","6703382","772434","15338"
"Collybia cirrata","Collybia cirrata","https://www.wikidata.org/wiki/Q3915438","1009267","508670","672913"
"Collybia cookei","Collybia cookei","http://www.wikidata.org/entity/Q5147601","1016297","1088657","15418"
"Collybia tuberosa","Collybia tuberosa","http://www.wikidata.org/entity/Q5147602","189352","165991","13674"
"Conocybe albipes","Conocybe albipes","http://www.wikidata.org/entity/Q62793083","188199","103184","672916"
"Conocybe pubescens","Conocybe pubescens","http://www.wikidata.org/entity/Q10680919","1017142","186461","15082"
"Conocybe spp.","Conocybe","http://www.wikidata.org/entity/Q1933387","16796","887970","13548"
"Coprinellus congregatus-groep","Coprinellus congregatus","http://www.wikidata.org/entity/Q1615720","1030198","737444","672935"
"Coprinellus disseminatus","Coprinellus disseminatus","http://www.wikidata.org/entity/Q1071819","197901","469858","672937"
"Coprinellus domesticus ss. lato","Coprinellus domesticus","http://www.wikidata.org/entity/Q5168907","243559","469851","672938"
"Coprinellus micaceus","Coprinellus micaceus","http://www.wikidata.org/entity/Q933206","243564","1046466","672948"
"Coprinopsis atramentaria","Coprinopsis atramentaria","http://www.wikidata.org/entity/Q728673","984054","363316","672968"
"Coprinopsis friesii-groep","Coprinopsis friesii","http://www.wikidata.org/entity/Q10459196","193087","469847","672988"
"Coprinopsis lagopus","Coprinopsis lagopus","http://www.wikidata.org/entity/Q162599","6510643","81912","673000"
"Coprinopsis nivea-groep","Coprinopsis nivea","http://www.wikidata.org/entity/Q28492325","989831","880022","673004"
"Coprinus comatus","Coprinus comatus","http://www.wikidata.org/entity/Q275125","1030658","789172","15172"
"Cortinarius alboviolaceus","Cortinarius alboviolaceus","http://www.wikidata.org/entity/Q3915839","1009518","1040006","14763"
"Cortinarius alnetorum","Cortinarius alnetorum","http://www.wikidata.org/entity/Q10593612","194059","873344","15152"
"Cortinarius anomalus ss. lato","Cortinarius anomalus","http://www.wikidata.org/entity/Q2511458","162092","845402","15606"
"Cortinarius bibulus ss. lato","Cortinarius bibulus","http://www.wikidata.org/entity/Q10715888","161570","51992","15330"
"Cortinarius bolaris","Cortinarius bolaris","http://www.wikidata.org/entity/Q3915422","187859","224499","14800"
"Cortinarius casimiri","Cortinarius casimiri","http://www.wikidata.org/entity/Q10681385","190971","846922","15266"
"Cortinarius cinnamomeus","Cortinarius cinnamomeus","http://www.wikidata.org/entity/Q1084167","159787","364256","14747"
"Cortinarius conicus","Cortinarius conicus","http://www.wikidata.org/entity/Q10460068","190972","3812346",""
"Cortinarius croceus-groep","Cortinarius croceus","http://www.wikidata.org/entity/Q4347259","1005234","487939","15143"
"Cortinarius decipiens-groep","Cortinarius decipiens","http://www.wikidata.org/entity/Q4347252","6708248","635334","195658"
"Cortinarius delibutus","Cortinarius delibutus","http://www.wikidata.org/entity/Q2511465","188027","314627","15414"
"Cortinarius fusisporus","Cortinarius fusisporus","http://www.wikidata.org/entity/Q10460103","190973","791243","14220"
"Cortinarius helobius-groep","Cortinarius helobius","http://www.wikidata.org/entity/Q84325715","6709435","1070827","15337"
"Cortinarius helvelloides","Cortinarius helvelloides","http://www.wikidata.org/entity/Q10510606","163359","475379","15150"
"Cortinarius helveolus","Cortinarius helveolus","http://www.wikidata.org/entity/Q84821061","","",""
"Cortinarius hemitrichus","Cortinarius hemitrichus","http://www.wikidata.org/entity/Q4347253","188511","748423","15682"
